income_level,values_income_levels
1,unter 1.250 EUR
2,1.250 EUR bis unter 1.500 EUR 
3,1.500 EUR bis unter 1.750 EUR 
4,1.750 EUR bis unter 2.000 EUR 
5,2.000 EUR bis unter 2.250 EUR 
6,2.250 EUR bis unter 2.500 EUR
7,2.500 EUR bis unter 2.750 EUR 
8,2.750 EUR bis unter 3.000 EUR 
9,3.000 EUR bis unter 3.250 EUR
10,3.250 EUR bis unter 3.500 EUR
11,3.500 EUR bis unter 3.750 EUR 
12,3.750 EUR bis unter 4.000 EUR 
13,4.000 EUR bis unter 4.500 EUR 
14,4.500 EUR bis unter 5.000 EUR 
15,5.000 EUR bis unter 5.500 EUR
16,6.000 EUR und Mehr
